split,source_index,dataset,task
probe-train,4060,Jobs and Salaries Dataset,Distribution Compliance Test
probe-train,9388,Los Angeles Library Monthly Statistics,Descriptive Statistics
probe-train,3748,Student Information and Grades Dataset,Contingency Table Test
probe-train,6178,Rainfall Dataset of Barak Velly,Descriptive Statistics
probe-train,2644,Crop Production Dataset,Variance Test
probe-train,2245,Terrorist Attacks Dataset,Distribution Compliance Test
probe-train,7940,Dataset for Admission in the University,Variance Test
probe-train,1354,Obesity or CVD Risk Dataset,Distribution Compliance Test
probe-train,4762,Crop Production Dataset,Variance Test
probe-train,1688,Obesity or CVD Risk Dataset,Descriptive Statistics
probe-train,133,Exercise and Fitness Metrics Dataset,Distribution Compliance Test
probe-train,1415,2023 Netflix Engagement Dataset,Distribution Compliance Test
probe-train,5977,Student Performance Prediction Dataset,Contingency Table Test
probe-train,624,US Christmas Tree Sales Dataset,Correlation Analysis
probe-train,7904,Used Car Dataset,Descriptive Statistics
probe-train,7452,Pokedex Dataset,Distribution Compliance Test
probe-train,2434,US Christmas Tree Sales Dataset,Correlation Analysis
probe-train,1841,Jobs and Salaries Dataset,Contingency Table Test
probe-train,5747,US Christmas Tree Sales Dataset,Correlation Analysis
probe-train,9281,Video Games Sales Dataset,Correlation Analysis
probe-train,2742,Used Car Dataset,Distribution Compliance Test
probe-train,1163,Los Angeles Library Monthly Statistics,Variance Test
probe-train,6943,Pokedex Dataset,Distribution Compliance Test
probe-train,9754,Customer Personality Analysis Dataset,Correlation Analysis
probe-train,9304,Income and Happiness Score Dataset,Descriptive Statistics
probe-train,10356,Advertising Budget and Sales Dataset,Distribution Compliance Test
probe-train,1976,Obesity or CVD Risk Dataset,Distribution Compliance Test
probe-train,1133,Crop Production Dataset,Variance Test
probe-train,6882,Income and Happiness Score Dataset,Variance Test
probe-train,5143,Stroke Prediction Dataset,Contingency Table Test
probe-train,1476,Los Angeles Library Monthly Statistics,Variance Test
probe-train,4517,Student Performance Prediction Dataset,Distribution Compliance Test
probe-train,69,Los Angeles Library Monthly Statistics,Descriptive Statistics
probe-train,7111,Dataset for Admission in the University,Correlation Analysis
probe-train,53,US Christmas Tree Sales Dataset,Correlation Analysis
probe-train,3138,Terrorist Attacks Dataset,Descriptive Statistics
probe-train,787,Obesity or CVD Risk Dataset,Contingency Table Test
probe-train,5682,Green House Gas Produce by Different Industry,Descriptive Statistics
probe-train,8073,Pokedex Dataset,Correlation Analysis
probe-train,8968,Crop Production Dataset,Descriptive Statistics
probe-train,4025,Customer Personality Analysis Dataset,Distribution Compliance Test
probe-train,2253,Customer Personality Analysis Dataset,Descriptive Statistics
probe-train,3653,Exercise and Fitness Metrics Dataset,Distribution Compliance Test
probe-train,8959,Lung Cancer Survey Dataset,Contingency Table Test
probe-train,75,Used Car Dataset,Distribution Compliance Test
probe-train,1347,Terrorist Attacks Dataset,Descriptive Statistics
probe-train,8068,Student Performance Prediction Dataset,Variance Test
probe-train,136,Pokedex Dataset,Variance Test
probe-train,4743,Customer Personality Analysis Dataset,Descriptive Statistics
probe-train,6245,Terrorist Attacks Dataset,Distribution Compliance Test
probe-train,9988,US Christmas Tree Sales Dataset,Correlation Analysis
probe-train,9329,Obesity or CVD Risk Dataset,Distribution Compliance Test
probe-train,10421,Dataset for Admission in the University,Variance Test
probe-train,2288,US Christmas Tree Sales Dataset,Correlation Analysis
probe-train,6896,Student Performance Prediction Dataset,Variance Test
probe-train,9984,US Christmas Tree Sales Dataset,Correlation Analysis
probe-train,1115,Terrorist Attacks Dataset,Distribution Compliance Test
probe-train,7633,2023 Netflix Engagement Dataset,Distribution Compliance Test
probe-train,1717,Student Performance Prediction Dataset,Distribution Compliance Test
probe-train,684,Dataset for Admission in the University,Variance Test
probe-train,1132,Lung Cancer Survey Dataset,Descriptive Statistics
probe-train,6137,Obesity or CVD Risk Dataset,Descriptive Statistics
probe-train,8543,University Rank Dataset,Distribution Compliance Test
probe-train,3412,Pokedex Dataset,Descriptive Statistics
probe-train,10427,Fruits and Vegetables Prices Dataset,Distribution Compliance Test
probe-train,7116,Pokedex Dataset,Distribution Compliance Test
probe-train,10442,US Christmas Tree Sales Dataset,Correlation Analysis
probe-train,7181,2023 Netflix Engagement Dataset,Descriptive Statistics
probe-train,3536,Exercise and Fitness Metrics Dataset,Variance Test
probe-train,825,Pokedex Dataset,Distribution Compliance Test
probe-train,9903,Obesity or CVD Risk Dataset,Distribution Compliance Test
probe-train,9566,Student Performance Prediction Dataset,Variance Test
probe-train,7520,FIFA Official Dataset 2023,Variance Test
probe-train,2315,FIFA Official Dataset 2023,Contingency Table Test
probe-train,1531,US Christmas Tree Sales Dataset,Correlation Analysis
probe-train,4143,Jobs and Salaries Dataset,Contingency Table Test
probe-train,8061,Student Performance Prediction Dataset,Distribution Compliance Test
probe-train,8593,Student Performance Prediction Dataset,Distribution Compliance Test
probe-train,2356,Income and Happiness Score Dataset,Variance Test
probe-train,2613,US Christmas Tree Sales Dataset,Correlation Analysis
probe-train,5570,Pokedex Dataset,Descriptive Statistics
probe-train,9478,Netflix TV Shows and Movies Scores Dataset in IMDB,Descriptive Statistics
probe-train,1555,Pokedex Dataset,Variance Test
probe-train,8168,Student Performance Prediction Dataset,Correlation Analysis
probe-train,5016,Obesity or CVD Risk Dataset,Distribution Compliance Test
probe-train,5034,University Rank Dataset,Correlation Analysis
probe-train,9883,Bank Customer Churn Prediction Dataset,Contingency Table Test
probe-train,6191,Pokedex Dataset,Variance Test
probe-train,8321,Student Performance Prediction Dataset,Contingency Table Test
probe-train,7129,Exercise and Fitness Metrics Dataset,Descriptive Statistics
probe-train,9153,Los Angeles Library Monthly Statistics,Variance Test
probe-train,1489,US Christmas Tree Sales Dataset,Correlation Analysis
probe-train,5316,Green House Gas Produce by Different Industry,Descriptive Statistics
probe-train,2037,Student Performance Prediction Dataset,Contingency Table Test
probe-train,3574,Student Performance Prediction Dataset,Contingency Table Test
probe-train,8070,Dataset for Admission in the University,Distribution Compliance Test
probe-train,4625,2023 Netflix Engagement Dataset,Distribution Compliance Test
probe-train,6652,Grades of Students Dataset,Descriptive Statistics
probe-train,9923,Housing Price Dataset,Variance Test
probe-train,3112,Lung Cancer Survey Dataset,Contingency Table Test
probe-train,1650,Dataset for Admission in the University,Distribution Compliance Test
probe-train,2621,Crop Production Dataset,Descriptive Statistics
probe-train,8347,Student Performance Prediction Dataset,Distribution Compliance Test
probe-train,3826,Student Performance Prediction Dataset,Contingency Table Test
probe-train,10068,Terrorist Attacks Dataset,Distribution Compliance Test
probe-train,8955,Dataset for Admission in the University,Distribution Compliance Test
probe-train,5352,Los Angeles Library Monthly Statistics,Descriptive Statistics
probe-train,2590,Crop Production Dataset,Distribution Compliance Test
probe-train,2791,Video Games Sales Dataset,Descriptive Statistics
probe-train,2745,Dataset for Admission in the University,Distribution Compliance Test
probe-train,9185,Grades of Students Dataset,Descriptive Statistics
probe-train,5428,Los Angeles Library Monthly Statistics,Descriptive Statistics
probe-train,7588,Fruits and Vegetables Prices Dataset,Distribution Compliance Test
probe-train,9546,Pokedex Dataset,Descriptive Statistics
probe-train,7799,Student Performance Prediction Dataset,Contingency Table Test
probe-train,6578,Pokedex Dataset,Distribution Compliance Test
probe-train,7167,Video Games Sales Dataset,Correlation Analysis
probe-train,1790,Student Performance Prediction Dataset,Descriptive Statistics
probe-train,303,Dataset for Admission in the University,Distribution Compliance Test
probe-train,1405,Student Performance Prediction Dataset,Descriptive Statistics
probe-train,3370,Exercise and Fitness Metrics Dataset,Descriptive Statistics
probe-train,9260,FIFA Official Dataset 2023,Variance Test
probe-train,2993,Customer Personality Analysis Dataset,Correlation Analysis
probe-train,7693,2023 Netflix Engagement Dataset,Descriptive Statistics
probe-train,4696,Fruits and Vegetables Prices Dataset,Descriptive Statistics
probe-train,6121,Lung Cancer Survey Dataset,Contingency Table Test
probe-train,1002,Heart Failure Prediction Dataset,Contingency Table Test
probe-train,7618,Crop Production Dataset,Distribution Compliance Test
probe-train,6727,Student Performance Prediction Dataset,Descriptive Statistics
probe-train,3150,Advertising Budget and Sales Dataset,Distribution Compliance Test
probe-train,5253,Lung Cancer Survey Dataset,Distribution Compliance Test
probe-train,9806,Student Performance Prediction Dataset,Descriptive Statistics
probe-train,2825,Los Angeles Library Monthly Statistics,Correlation Analysis
probe-train,10405,University Rank Dataset,Descriptive Statistics
probe-train,9467,Los Angeles Library Monthly Statistics,Distribution Compliance Test
probe-train,937,Exercise and Fitness Metrics Dataset,Variance Test
probe-train,2776,Obesity or CVD Risk Dataset,Contingency Table Test
probe-train,10139,Crop Production Dataset,Descriptive Statistics
probe-train,4682,Obesity or CVD Risk Dataset,Descriptive Statistics
probe-train,1180,Heart Failure Prediction Dataset,Contingency Table Test
probe-train,2355,Lung Cancer Survey Dataset,Contingency Table Test
probe-train,5668,Crop Production Dataset,Variance Test
probe-train,124,Salary Dataset by Job Title and Country,Descriptive Statistics
probe-train,4189,Crop Production Dataset,Descriptive Statistics
probe-train,7880,Los Angeles Library Monthly Statistics,Variance Test
probe-train,7582,Terrorist Attacks Dataset,Descriptive Statistics
probe-train,9896,Obesity or CVD Risk Dataset,Contingency Table Test
probe-train,5690,Fruits and Vegetables Prices Dataset,Distribution Compliance Test
probe-train,3435,Student Performance Prediction Dataset,Contingency Table Test
probe-train,1251,Crop Production Dataset,Descriptive Statistics
probe-train,10415,University Rank Dataset,Descriptive Statistics
probe-train,2059,Customer Personality Analysis Dataset,Correlation Analysis
probe-train,9900,Jobs and Salaries Dataset,Distribution Compliance Test
probe-train,4610,Customer Personality Analysis Dataset,Distribution Compliance Test
probe-train,8584,Pokedex Dataset,Correlation Analysis
probe-train,2057,Crop Production Dataset,Variance Test
probe-train,2054,Terrorist Attacks Dataset,Correlation Analysis
probe-train,4272,Obesity or CVD Risk Dataset,Contingency Table Test
probe-train,5869,Terrorist Attacks Dataset,Descriptive Statistics
probe-train,7699,Lung Cancer Survey Dataset,Contingency Table Test
probe-train,2627,Student Performance Prediction Dataset,Contingency Table Test
probe-train,8236,FIFA Official Dataset 2023,Descriptive Statistics
probe-train,8447,Video Games Sales Dataset,Descriptive Statistics
probe-train,7182,Crop Production Dataset,Variance Test
probe-train,1908,Crop Production Dataset,Distribution Compliance Test
probe-train,1016,Los Angeles Library Monthly Statistics,Correlation Analysis
probe-train,9792,FIFA Official Dataset 2023,Contingency Table Test
probe-train,10080,Income and Happiness Score Dataset,Variance Test
probe-train,1512,Used Car Dataset,Variance Test
probe-train,6340,Student Performance Prediction Dataset,Descriptive Statistics
probe-train,4704,Student Performance Prediction Dataset,Distribution Compliance Test
probe-train,8589,Students New MRW Score Dataset,Contingency Table Test
probe-train,1411,Lung Cancer Survey Dataset,Contingency Table Test
probe-train,9777,Video Games Sales Dataset,Distribution Compliance Test
probe-train,1318,Income and Happiness Score Dataset,Variance Test
probe-train,6144,Terrorist Attacks Dataset,Descriptive Statistics
probe-train,8520,Pokedex Dataset,Correlation Analysis
probe-train,9840,Heart Failure Prediction Dataset,Contingency Table Test
probe-train,6541,Pokedex Dataset,Contingency Table Test
probe-train,6043,Income and Happiness Score Dataset,Descriptive Statistics
probe-train,9130,US Christmas Tree Sales Dataset,Distribution Compliance Test
probe-train,985,US Christmas Tree Sales Dataset,Correlation Analysis
probe-train,5537,Los Angeles Library Monthly Statistics,Variance Test
probe-train,5104,Student Performance Prediction Dataset,Contingency Table Test
probe-train,894,Dataset for Admission in the University,Variance Test
probe-train,2259,Terrorist Attacks Dataset,Distribution Compliance Test
probe-train,623,Housing Price Dataset,Descriptive Statistics
probe-train,5544,Real Estate Valuation Dataset,Descriptive Statistics
probe-train,7211,FIFA Official Dataset 2023,Variance Test
probe-train,5086,Fruits and Vegetables Prices Dataset,Distribution Compliance Test
probe-train,10418,US Christmas Tree Sales Dataset,Correlation Analysis
probe-train,5898,Monroe County Car Crach Dataset,Contingency Table Test
probe-train,10306,Student Performance Prediction Dataset,Distribution Compliance Test
probe-train,658,Student Performance Prediction Dataset,Correlation Analysis
probe-train,8937,Terrorist Attacks Dataset,Correlation Analysis
probe-train,7882,Salary Dataset by Job Title and Country,Distribution Compliance Test
probe-train,4444,Customer Personality Analysis Dataset,Distribution Compliance Test
probe-train,5116,US Christmas Tree Sales Dataset,Correlation Analysis
probe-train,6116,Lung Cancer Survey Dataset,Contingency Table Test
probe-train,369,FIFA Official Dataset 2023,Contingency Table Test
probe-train,1897,US Christmas Tree Sales Dataset,Correlation Analysis
probe-train,5958,Student Performance Prediction Dataset,Contingency Table Test
probe-train,1580,Student Performance Prediction Dataset,Correlation Analysis
probe-train,6094,Obesity or CVD Risk Dataset,Descriptive Statistics
probe-train,4577,Used Car Dataset,Descriptive Statistics
probe-train,7981,Exercise and Fitness Metrics Dataset,Variance Test
probe-train,3737,Student Performance Prediction Dataset,Correlation Analysis
probe-train,4595,Rainfall Dataset of Barak Velly,Variance Test
probe-train,9833,Crop Production Dataset,Variance Test
probe-train,3476,Stroke Prediction Dataset,Contingency Table Test
probe-train,1567,Dataset for Admission in the University,Variance Test
probe-train,9987,Salary Dataset by Job Title and Country,Variance Test
probe-train,5714,US Christmas Tree Sales Dataset,Correlation Analysis
probe-train,6014,Lung Cancer Survey Dataset,Descriptive Statistics
probe-train,5134,Exercise and Fitness Metrics Dataset,Descriptive Statistics
probe-train,640,Student Performance Prediction Dataset,Contingency Table Test
probe-train,8860,Real Estate Valuation Dataset,Correlation Analysis
probe-train,9144,Used Car Dataset,Distribution Compliance Test
probe-train,9834,Customer Personality Analysis Dataset,Correlation Analysis
probe-train,6812,Lung Cancer Survey Dataset,Contingency Table Test
probe-train,5532,Housing Price Dataset,Descriptive Statistics
probe-train,3395,Crop Production Dataset,Distribution Compliance Test
probe-train,911,Student Performance Prediction Dataset,Contingency Table Test
probe-train,5442,Used Car Dataset,Descriptive Statistics
probe-train,7541,Customer Personality Analysis Dataset,Descriptive Statistics
probe-train,2909,Student Performance Prediction Dataset,Descriptive Statistics
probe-train,7848,Student Information and Grades Dataset,Contingency Table Test
probe-train,6327,Lung Cancer Survey Dataset,Contingency Table Test
probe-train,2852,Income and Happiness Score Dataset,Variance Test
probe-train,2189,Crop Production Dataset,Distribution Compliance Test
probe-train,1989,Heart Failure Prediction Dataset,Distribution Compliance Test
probe-train,3757,Video Games Sales Dataset,Distribution Compliance Test
probe-train,8851,FIFA Official Dataset 2023,Variance Test
probe-train,9336,Pokedex Dataset,Descriptive Statistics
probe-train,3513,Pokedex Dataset,Distribution Compliance Test
probe-train,421,Customer Personality Analysis Dataset,Correlation Analysis
probe-train,8742,Student Performance Prediction Dataset,Variance Test
probe-train,3416,Student Performance Prediction Dataset,Correlation Analysis
probe-train,3198,FIFA Official Dataset 2023,Contingency Table Test
probe-train,9680,Customer Personality Analysis Dataset,Contingency Table Test
probe-train,5563,Crop Production Dataset,Variance Test
probe-train,1880,Terrorist Attacks Dataset,Distribution Compliance Test
probe-train,9589,Pokedex Dataset,Descriptive Statistics
probe-train,1144,Student Performance Prediction Dataset,Distribution Compliance Test
probe-train,9942,Pokedex Dataset,Correlation Analysis
probe-train,7906,Student Performance Prediction Dataset,Correlation Analysis
probe-train,9465,Raman Ratings Dataset,Descriptive Statistics
probe-train,5200,Terrorist Attacks Dataset,Correlation Analysis
probe-train,2034,Customer Personality Analysis Dataset,Distribution Compliance Test
probe-train,5779,US Christmas Tree Sales Dataset,Correlation Analysis
probe-train,9745,Crop Production Dataset,Variance Test
probe-train,8523,Used Car Dataset,Variance Test
probe-train,3769,Student Performance Prediction Dataset,Distribution Compliance Test
probe-train,3213,Dataset for Admission in the University,Variance Test
probe-train,1488,Green House Gas Produce by Different Industry,Descriptive Statistics
probe-train,8325,Customer Personality Analysis Dataset,Descriptive Statistics
probe-train,10067,FIFA Official Dataset 2023,Distribution Compliance Test
probe-train,503,Bank Customer Churn Prediction Dataset,Distribution Compliance Test
probe-train,4707,Obesity or CVD Risk Dataset,Distribution Compliance Test
probe-train,6335,Student Performance Prediction Dataset,Distribution Compliance Test
probe-train,4653,Crop Production Dataset,Distribution Compliance Test
probe-train,898,US Christmas Tree Sales Dataset,Correlation Analysis
probe-train,160,Student Performance Prediction Dataset,Distribution Compliance Test
probe-train,4824,Los Angeles Library Monthly Statistics,Correlation Analysis
probe-train,5115,GPA Study Hours Dataset,Descriptive Statistics
probe-train,8958,Los Angeles Library Monthly Statistics,Distribution Compliance Test
probe-train,5667,Student Performance Prediction Dataset,Variance Test
probe-train,8951,Pokedex Dataset,Distribution Compliance Test
probe-train,4125,Terrorist Attacks Dataset,Distribution Compliance Test
probe-train,8964,Crop Production Dataset,Variance Test
probe-train,9026,Student Performance Prediction Dataset,Correlation Analysis
probe-train,8762,Used Car Dataset,Descriptive Statistics
probe-train,8914,FIFA Official Dataset 2023,Contingency Table Test
probe-train,1528,Lung Cancer Survey Dataset,Contingency Table Test
probe-train,2494,US Christmas Tree Sales Dataset,Correlation Analysis
probe-train,4739,FIFA Official Dataset 2023,Variance Test
probe-train,5462,Rainfall Dataset of Barak Velly,Descriptive Statistics
probe-train,2520,Heart Failure Prediction Dataset,Descriptive Statistics
probe-train,2939,Customer Personality Analysis Dataset,Correlation Analysis
probe-train,6965,Crop Production Dataset,Variance Test
probe-train,5983,Customer Personality Analysis Dataset,Correlation Analysis
probe-train,3546,FIFA Official Dataset 2023,Contingency Table Test
probe-train,10204,FIFA Official Dataset 2023,Variance Test
probe-train,5378,Lung Cancer Survey Dataset,Contingency Table Test
probe-train,1685,Obesity or CVD Risk Dataset,Descriptive Statistics
probe-train,6651,Customer Personality Analysis Dataset,Distribution Compliance Test
probe-train,6874,Crop Production Dataset,Variance Test
probe-train,8357,Lung Cancer Survey Dataset,Descriptive Statistics
probe-train,5203,Exercise and Fitness Metrics Dataset,Variance Test
probe-train,8614,Los Angeles Library Monthly Statistics,Descriptive Statistics
probe-train,6746,Lung Cancer Survey Dataset,Contingency Table Test
probe-train,7482,Student Performance Prediction Dataset,Correlation Analysis
probe-train,1048,Green House Gas Produce by Different Industry,Descriptive Statistics
probe-train,270,Customer Personality Analysis Dataset,Descriptive Statistics
probe-train,1402,FIFA Official Dataset 2023,Contingency Table Test
probe-train,9986,Student Performance Prediction Dataset,Contingency Table Test
probe-train,6823,Video Games Sales Dataset,Descriptive Statistics
probe-train,1141,Exercise and Fitness Metrics Dataset,Descriptive Statistics
probe-train,7888,Obesity or CVD Risk Dataset,Variance Test
probe-train,7989,Terrorist Attacks Dataset,Correlation Analysis
probe-train,7841,Student Performance Prediction Dataset,Correlation Analysis
probe-train,9907,Student Performance Prediction Dataset,Contingency Table Test
probe-train,5866,Video Games Sales Dataset,Distribution Compliance Test
probe-train,7190,Pokedex Dataset,Correlation Analysis
probe-train,10168,Green House Gas Produce by Different Industry,Descriptive Statistics
probe-train,6075,Obesity or CVD Risk Dataset,Descriptive Statistics
probe-train,3830,Crop Production Dataset,Variance Test
probe-train,1646,Student Performance Prediction Dataset,Contingency Table Test
probe-train,3630,Lung Cancer Survey Dataset,Contingency Table Test
probe-train,4601,FIFA Official Dataset 2023,Correlation Analysis
probe-train,6838,Dataset for Admission in the University,Distribution Compliance Test
probe-train,8312,Customer Personality Analysis Dataset,Distribution Compliance Test
probe-train,6299,Terrorist Attacks Dataset,Correlation Analysis
probe-train,9486,US Christmas Tree Sales Dataset,Correlation Analysis
probe-train,7215,Lung Cancer Survey Dataset,Contingency Table Test
probe-train,268,Terrorist Attacks Dataset,Descriptive Statistics
probe-train,10238,Customer Personality Analysis Dataset,Descriptive Statistics
probe-train,8143,Used Car Dataset,Descriptive Statistics
probe-train,3590,Lung Cancer Survey Dataset,Contingency Table Test
probe-train,5976,Obesity or CVD Risk Dataset,Variance Test
probe-train,8831,Obesity or CVD Risk Dataset,Contingency Table Test
probe-train,4793,Crop Production Dataset,Descriptive Statistics
probe-train,2677,Heart Failure Prediction Dataset,Contingency Table Test
probe-train,10287,Housing Price Dataset,Distribution Compliance Test
probe-train,5180,Exercise and Fitness Metrics Dataset,Variance Test
conformal-calib,379,Los Angeles Library Monthly Statistics,Variance Test
conformal-calib,135,Video Games Sales Dataset,Correlation Analysis
conformal-calib,356,US Christmas Tree Sales Dataset,Correlation Analysis
conformal-calib,8883,Rainfall Dataset of Barak Velly,Descriptive Statistics
conformal-calib,3895,Student Performance Prediction Dataset,Contingency Table Test
conformal-calib,9500,Student Performance Prediction Dataset,Descriptive Statistics
conformal-calib,8727,Housing Price Dataset,Distribution Compliance Test
conformal-calib,7296,Video Games Sales Dataset,Descriptive Statistics
conformal-calib,6238,Student Performance Prediction Dataset,Descriptive Statistics
conformal-calib,1297,Dataset for Admission in the University,Variance Test
conformal-calib,6855,Student Performance Prediction Dataset,Descriptive Statistics
conformal-calib,4804,Fruits and Vegetables Prices Dataset,Descriptive Statistics
conformal-calib,2249,Crop Production Dataset,Distribution Compliance Test
conformal-calib,4933,Exercise and Fitness Metrics Dataset,Variance Test
conformal-calib,3580,Obesity or CVD Risk Dataset,Contingency Table Test
conformal-calib,7829,Stroke Prediction Dataset,Contingency Table Test
conformal-calib,7419,Pokedex Dataset,Descriptive Statistics
conformal-calib,4501,US Christmas Tree Sales Dataset,Descriptive Statistics
conformal-calib,8717,Pokedex Dataset,Contingency Table Test
conformal-calib,7934,Exercise and Fitness Metrics Dataset,Variance Test
conformal-calib,134,Crop Production Dataset,Variance Test
conformal-calib,725,Student Performance Prediction Dataset,Correlation Analysis
conformal-calib,8328,Student Performance Prediction Dataset,Distribution Compliance Test
conformal-calib,208,Exercise and Fitness Metrics Dataset,Variance Test
conformal-calib,1511,FIFA Official Dataset 2023,Variance Test
conformal-calib,5207,Student Performance Prediction Dataset,Contingency Table Test
conformal-calib,6256,Obesity or CVD Risk Dataset,Distribution Compliance Test
conformal-calib,8466,Student Performance Prediction Dataset,Correlation Analysis
conformal-calib,462,Exercise and Fitness Metrics Dataset,Variance Test
conformal-calib,4722,Los Angeles Library Monthly Statistics,Distribution Compliance Test
conformal-calib,2860,Pokedex Dataset,Correlation Analysis
conformal-calib,2915,Student Performance Prediction Dataset,Contingency Table Test
conformal-calib,3137,Customer Personality Analysis Dataset,Correlation Analysis
conformal-calib,8905,Los Angeles Library Monthly Statistics,Descriptive Statistics
conformal-calib,7349,Crop Production Dataset,Variance Test
conformal-calib,1919,Student Performance Prediction Dataset,Descriptive Statistics
conformal-calib,6396,US Christmas Tree Sales Dataset,Correlation Analysis
conformal-calib,5266,Student Performance Prediction Dataset,Distribution Compliance Test
conformal-calib,4524,FIFA Official Dataset 2023,Descriptive Statistics
conformal-calib,3360,Monroe County Car Crach Dataset,Contingency Table Test
conformal-calib,1057,Los Angeles Library Monthly Statistics,Variance Test
conformal-calib,564,Heart Failure Prediction Dataset,Distribution Compliance Test
conformal-calib,7752,Obesity or CVD Risk Dataset,Contingency Table Test
conformal-calib,6273,US Christmas Tree Sales Dataset,Correlation Analysis
conformal-calib,2413,Student Performance Prediction Dataset,Contingency Table Test
conformal-calib,6835,Real Estate Valuation Dataset,Distribution Compliance Test
conformal-calib,6992,Crop Production Dataset,Variance Test
conformal-calib,3795,Student Performance Prediction Dataset,Contingency Table Test
conformal-calib,3289,US Christmas Tree Sales Dataset,Correlation Analysis
conformal-calib,6267,Crop Production Dataset,Distribution Compliance Test
conformal-calib,4127,Grades of Students Dataset,Distribution Compliance Test
conformal-calib,916,Lung Cancer Survey Dataset,Contingency Table Test
conformal-calib,700,Pokedex Dataset,Distribution Compliance Test
conformal-calib,6984,Dataset for Admission in the University,Variance Test
conformal-calib,9104,Exercise and Fitness Metrics Dataset,Variance Test
conformal-calib,3906,Video Games Sales Dataset,Descriptive Statistics
conformal-calib,9856,US Christmas Tree Sales Dataset,Correlation Analysis
conformal-calib,10043,Customer Personality Analysis Dataset,Distribution Compliance Test
conformal-calib,7203,Heart Failure Prediction Dataset,Contingency Table Test
conformal-calib,5436,US Christmas Tree Sales Dataset,Correlation Analysis
conformal-calib,2631,Lung Cancer Survey Dataset,Contingency Table Test
conformal-calib,5939,Customer Personality Analysis Dataset,Correlation Analysis
conformal-calib,6369,Pokedex Dataset,Variance Test
conformal-calib,8995,Student Performance Prediction Dataset,Descriptive Statistics
conformal-calib,7045,Terrorist Attacks Dataset,Correlation Analysis
conformal-calib,2679,Income and Happiness Score Dataset,Descriptive Statistics
conformal-calib,848,Terrorist Attacks Dataset,Correlation Analysis
conformal-calib,4745,Bank Customer Churn Prediction Dataset,Contingency Table Test
conformal-calib,3290,Rainfall Dataset of Barak Velly,Descriptive Statistics
conformal-calib,7105,Crop Production Dataset,Variance Test
conformal-calib,9239,US Christmas Tree Sales Dataset,Correlation Analysis
conformal-calib,8839,Student Performance Prediction Dataset,Contingency Table Test
conformal-calib,4632,Used Car Dataset,Distribution Compliance Test
conformal-calib,7833,Housing Price Dataset,Distribution Compliance Test
conformal-calib,3938,Exercise and Fitness Metrics Dataset,Descriptive Statistics
conformal-calib,4031,Exercise and Fitness Metrics Dataset,Variance Test
conformal-calib,470,Pokedex Dataset,Descriptive Statistics
conformal-calib,4960,Student Performance Prediction Dataset,Descriptive Statistics
conformal-calib,3054,Crop Production Dataset,Variance Test
conformal-calib,9675,Pokedex Dataset,Variance Test
conformal-calib,7441,Netflix TV Shows and Movies Scores Dataset in IMDB,Descriptive Statistics
conformal-calib,10416,Student Performance Prediction Dataset,Descriptive Statistics
conformal-calib,2284,Student Performance Prediction Dataset,Contingency Table Test
conformal-calib,4546,Used Car Dataset,Distribution Compliance Test
conformal-calib,9459,Obesity or CVD Risk Dataset,Distribution Compliance Test
conformal-calib,4650,Heart Failure Prediction Dataset,Contingency Table Test
conformal-calib,518,Pokedex Dataset,Distribution Compliance Test
conformal-calib,10331,Los Angeles Library Monthly Statistics,Distribution Compliance Test
conformal-calib,694,Crop Production Dataset,Variance Test
conformal-calib,2604,US Christmas Tree Sales Dataset,Correlation Analysis
conformal-calib,1865,Obesity or CVD Risk Dataset,Contingency Table Test
conformal-calib,6440,Income and Happiness Score Dataset,Distribution Compliance Test
conformal-calib,8983,Terrorist Attacks Dataset,Correlation Analysis
conformal-calib,7355,Rainfall Dataset of Barak Velly,Descriptive Statistics
conformal-calib,3102,Terrorist Attacks Dataset,Distribution Compliance Test
conformal-calib,8118,Crop Production Dataset,Descriptive Statistics
conformal-calib,10289,Crop Production Dataset,Descriptive Statistics
conformal-calib,3804,US Christmas Tree Sales Dataset,Correlation Analysis
conformal-calib,8467,Stroke Prediction Dataset,Descriptive Statistics
conformal-calib,9411,Lung Cancer Survey Dataset,Contingency Table Test
conformal-calib,7408,Exercise and Fitness Metrics Dataset,Descriptive Statistics
conformal-calib,3014,Pokedex Dataset,Distribution Compliance Test
conformal-calib,6555,Crop Production Dataset,Distribution Compliance Test
conformal-calib,1472,Crop Production Dataset,Variance Test
conformal-calib,10090,Income and Happiness Score Dataset,Variance Test
conformal-calib,1768,FIFA Official Dataset 2023,Descriptive Statistics
conformal-calib,9474,Crop Production Dataset,Variance Test
conformal-calib,9918,Obesity or CVD Risk Dataset,Variance Test
conformal-calib,6037,Income and Happiness Score Dataset,Correlation Analysis
conformal-calib,5130,Student Performance Prediction Dataset,Variance Test
conformal-calib,7093,Terrorist Attacks Dataset,Correlation Analysis
conformal-calib,9748,Income and Happiness Score Dataset,Variance Test
conformal-calib,2956,Pokedex Dataset,Descriptive Statistics
conformal-calib,9383,Customer Personality Analysis Dataset,Descriptive Statistics
conformal-calib,6785,Los Angeles Library Monthly Statistics,Variance Test
conformal-calib,3965,Student Performance Prediction Dataset,Contingency Table Test
conformal-calib,1657,Real Estate Valuation Dataset,Distribution Compliance Test
conformal-calib,6349,Terrorist Attacks Dataset,Descriptive Statistics
